Account_Length,Area_Code,Phone_Number,International_Plan,Voice_Mail_Plan,Voice_Mail_Messages,Total_Day_Minutes,Total_Day_Calls,Total_Day_Charge,Total_Evening_Minutes,Total_Evening_Calls,Total_Evening_Charge,Total_Night_Minutes,Total_Night_Calls,Total_Night_Charge,Total_International_Minutes,Total_International_Calls,Total_International_Charge,Customer_Service_Calls,Churn,Total_Minutes,Total_Calls,Total_Charges,Avg_Call_Duration,Customer_Service_Category
128,415,3824657,no,yes,25,265.1,110,45.07,197.4,99,16.78,244.7,91,11.01,10.0,3,2.7,1,False,717.2,303,75.56,2.366996699669967,Low
107,415,3717191,no,yes,26,161.6,123,27.47,195.5,103,16.62,254.4,103,11.45,13.7,3,3.7,1,False,625.2,332,59.24000000000001,1.883132530120482,Low
137,415,3581921,no,no,0,243.4,114,41.38,121.2,110,10.3,162.6,104,7.32,12.2,5,3.29,0,False,539.4,333,62.290000000000006,1.6198198198198197,Low
84,408,3759999,yes,no,0,299.4,71,50.9,61.9,88,5.26,196.9,89,8.86,6.6,7,1.78,2,False,564.8,255,66.8,2.2149019607843137,Low
75,415,3306626,yes,no,0,166.7,113,28.34,148.3,122,12.61,186.9,121,8.41,10.1,3,2.73,3,False,512.0,359,52.09,1.426183844011142,Low
118,510,3918027,yes,no,0,223.4,98,37.98,220.6,101,18.75,203.9,118,9.18,6.3,6,1.7,0,False,654.2,323,67.61,2.025386996904025,Low
121,510,3559993,no,yes,24,218.2,88,37.09,348.5,108,29.62,212.6,118,9.57,7.5,7,2.03,3,False,786.8000000000001,321,78.31,2.451090342679128,Low
147,415,3299001,yes,no,0,157.0,79,26.69,103.1,94,8.76,211.8,96,9.53,7.1,6,1.92,0,False,479.00000000000006,275,46.900000000000006,1.741818181818182,Low
117,408,3354719,no,no,0,184.5,97,31.37,351.6,80,29.89,215.8,90,9.71,8.7,4,2.35,1,False,760.6000000000001,271,73.32000000000001,2.8066420664206646,Low
141,415,3308173,yes,yes,37,258.6,84,43.96,222.0,111,18.87,326.4,97,14.69,11.2,5,3.02,0,False,818.2,297,80.53999999999999,2.754882154882155,Low
65,415,3296603,no,no,0,129.1,137,21.95,228.5,83,19.42,208.8,111,9.4,12.7,6,3.43,4,True,579.1,337,54.2,1.7183976261127598,Low
74,415,3449403,no,no,0,187.7,127,31.91,163.4,148,13.89,196.0,94,8.82,9.1,5,2.46,0,False,556.2,374,57.08,1.4871657754010696,Low
168,408,3631107,no,no,0,128.8,96,21.9,104.9,71,8.92,141.1,128,6.35,11.2,2,3.02,1,False,386.0,297,40.190000000000005,1.2996632996632997,Low
95,510,3948006,no,no,0,156.6,88,26.62,247.6,75,21.05,192.3,115,8.65,12.3,5,3.32,3,False,608.8,283,59.64,2.151236749116608,Low
62,415,3669238,no,no,0,120.7,70,20.52,307.2,76,26.11,203.0,99,9.14,13.1,6,3.54,4,False,644.0,251,59.309999999999995,2.5657370517928286,Low
161,415,3517269,no,no,0,332.9,67,56.59,317.8,97,27.01,160.6,128,7.23,5.4,9,1.46,4,True,816.7,301,92.29,2.7132890365448508,Low
85,408,3508884,no,yes,27,196.4,139,33.39,280.9,90,23.88,89.3,75,4.02,13.8,4,3.73,1,False,580.4,308,65.02,1.8844155844155843,Low
93,510,3862923,no,no,0,190.7,114,32.42,218.2,111,18.55,129.6,121,5.83,8.1,3,2.19,3,False,546.6,349,58.989999999999995,1.566189111747851,Low
76,510,3562992,no,yes,33,189.7,66,32.25,212.8,65,18.09,165.7,108,7.46,10.0,5,2.7,1,False,578.2,244,60.50000000000001,2.3696721311475413,Low
73,415,3732782,no,no,0,224.4,90,38.15,159.5,88,13.56,192.8,74,8.68,13.0,2,3.51,1,False,589.7,254,63.9,2.321653543307087,Low
147,415,3965800,no,no,0,155.1,117,26.37,239.7,93,20.37,208.8,133,9.4,10.6,4,2.86,0,False,614.2,347,59.0,1.7700288184438042,Low
77,408,3937984,no,no,0,62.4,89,10.61,169.9,121,14.44,209.6,64,9.43,5.7,6,1.54,5,True,447.6,280,36.019999999999996,1.5985714285714288,High
130,415,3581958,no,no,0,183.0,112,31.11,72.9,99,6.2,181.8,78,8.18,9.5,19,2.57,0,False,447.2,308,48.06,1.4519480519480519,Low
111,415,3502565,no,no,0,110.4,103,18.77,137.3,102,11.67,189.6,105,8.53,7.7,6,2.08,2,False,445.0,316,41.05,1.4082278481012658,Low
132,510,3434696,no,no,0,81.1,86,13.79,245.2,72,20.84,237.0,115,10.67,10.3,2,2.78,0,False,573.5999999999999,275,48.08,2.0858181818181816,Low
